class_year,reason_skip_event,pref_friday,pref_saturday,pref_sunday,pref_weekday_afternoon,pref_weekday_evening,events_attended_ordinal,event_type,rating,is_synthetic
Rising Senior,Not interested in event type,1,1,1,0,0,0,pregames,3,True
Rising Senior,Not interested in event type,1,1,1,0,0,0,postgames,2,True
Rising Senior,Not interested in event type,1,1,1,0,0,0,socials,5,True
Rising Senior,Not interested in event type,1,1,1,0,0,0,brotherhood,5,True
Rising Senior,Not interested in event type,1,1,1,0,0,0,philanthropy,2,True
Rising Senior,Not interested in event type,1,1,1,0,0,0,professional,2,True
Rising Senior,Not interested in event type,1,1,1,0,0,0,community_service,3,True
Rising Senior,Not interested in event type,1,1,1,0,0,0,alumni,3,True
Rising Junior,Conflicts with class/work,1,1,0,0,0,3,pregames,4,True
Rising Junior,Conflicts with class/work,1,1,0,0,0,3,postgames,3,True
Rising Junior,Conflicts with class/work,1,1,0,0,0,3,socials,5,True
Rising Junior,Conflicts with class/work,1,1,0,0,0,3,brotherhood,5,True
Rising Junior,Conflicts with class/work,1,1,0,0,0,3,philanthropy,5,True
Rising Junior,Conflicts with class/work,1,1,0,0,0,3,professional,3,True
Rising Junior,Conflicts with class/work,1,1,0,0,0,3,community_service,5,True
Rising Junior,Conflicts with class/work,1,1,0,0,0,3,alumni,4,True
Rising Sophomore,Not interested in event type,1,1,0,1,1,2,pregames,4,True
Rising Sophomore,Not interested in event type,1,1,0,1,1,2,postgames,5,True
Rising Sophomore,Not interested in event type,1,1,0,1,1,2,socials,4,True
Rising Sophomore,Not interested in event type,1,1,0,1,1,2,brotherhood,4,True
Rising Sophomore,Not interested in event type,1,1,0,1,1,2,philanthropy,4,True
Rising Sophomore,Not interested in event type,1,1,0,1,1,2,professional,2,True
Rising Sophomore,Not interested in event type,1,1,0,1,1,2,community_service,1,True
Rising Sophomore,Not interested in event type,1,1,0,1,1,2,alumni,5,True
Rising Senior,Too tired/burnt out,1,1,0,0,1,0,pregames,5,True
Rising Senior,Too tired/burnt out,1,1,0,0,1,0,postgames,5,True
Rising Senior,Too tired/burnt out,1,1,0,0,1,0,socials,5,True
Rising Senior,Too tired/burnt out,1,1,0,0,1,0,brotherhood,4,True
Rising Senior,Too tired/burnt out,1,1,0,0,1,0,philanthropy,2,True
Rising Senior,Too tired/burnt out,1,1,0,0,1,0,professional,3,True
Rising Senior,Too tired/burnt out,1,1,0,0,1,0,community_service,1,True
Rising Senior,Too tired/burnt out,1,1,0,0,1,0,alumni,3,True
Rising Senior,Conflicts with class/work,1,1,0,1,1,3,pregames,3,True
Rising Senior,Conflicts with class/work,1,1,0,1,1,3,postgames,4,True
Rising Senior,Conflicts with class/work,1,1,0,1,1,3,socials,5,True
